index,axis,true,pred,prob,text
0,IE,0,1,0.7297090291976929,"' Also, I think I am starting to have some fear of driving, even though I don't want to I ate a pear, 3 chocolate cookies and drank chocolate milk nn I don't. I actually hate cleaning Hum... I think y..."
0,JP,0,1,0.9993159770965576,"' Also, I think I am starting to have some fear of driving, even though I don't want to I ate a pear, 3 chocolate cookies and drank chocolate milk nn I don't. I actually hate cleaning Hum... I think y..."
2,IE,0,1,0.9974195957183838,'Heath to Heats Sent from my Z833 using Tapatalk It's possible that she closed it to let her friend start the petition herself. She expressed that she would do that. Sent from my Z833 using Tapatalk 2...
2,TF,1,0,0.0006431726505979896,'Heath to Heats Sent from my Z833 using Tapatalk It's possible that she closed it to let her friend start the petition herself. She expressed that she would do that. Sent from my Z833 using Tapatalk 2...
2,JP,0,1,0.9990583062171936,'Heath to Heats Sent from my Z833 using Tapatalk It's possible that she closed it to let her friend start the petition herself. She expressed that she would do that. Sent from my Z833 using Tapatalk 2...
3,NS,0,1,0.9900434017181396,'Right when I saw this thread the first name that came to my mind was George Carlin!! Interesting that we all like him...Bill Hicks too. I also avoid confrontation at all costs. My step mother especia...
7,TF,1,0,0.01812412217259407,"'Well, this would be consistent with my forums name, plus it's awesome... ...but in reality I prefer single malt Scotch whisky. Of those, I don't... Big office gathering near my desk, everybody talkin..."
8,TF,1,0,0.0018717172788456082,"'Sort of! My girlfriend, an INFJ, admitted her crush on me to me in a slightly offhanded comment while we were joking around one day. I suppose it's close, and we've made a fantastic... Tough one! Eit..."
10,NS,1,0,0.0020296741276979446,"'Assuming I had a hand in it, I always at least consider the possibility of my own culpability. I like to think that I'm honest enough to admit it, when it's really my fault. But more often than not,...."
10,TF,0,1,0.9997000694274902,"'Assuming I had a hand in it, I always at least consider the possibility of my own culpability. I like to think that I'm honest enough to admit it, when it's really my fault. But more often than not,...."
10,JP,0,1,0.9989431500434875,"'Assuming I had a hand in it, I always at least consider the possibility of my own culpability. I like to think that I'm honest enough to admit it, when it's really my fault. But more often than not,...."
16,IE,0,1,0.9635688662528992,"'When you are actually an ISFJ Now, 99 of all the lurkers are likely true INTJs. I met two. They find all forms of emotion illogical. Now to figure out what everyone else is, we should type them all. ..."
20,IE,1,0,0.000486279051983729,'I know ENFP is suppose to love people but lately it just came to my mind that I don't like most people... Do you guys feel the same way? I love people genuinely but most of my experiences have left.....
22,IE,1,0,0.09942857921123505,"that's how we 'activate' among other people. we ARE extroverts after all though all alone we can be very, very different from what you usually see us as omagad then who?7 i guess though I still don't ..."
22,NS,1,0,0.06895481050014496,"that's how we 'activate' among other people. we ARE extroverts after all though all alone we can be very, very different from what you usually see us as omagad then who?7 i guess though I still don't ..."
23,IE,0,1,0.9987003803253174,"' ...Tony Abbott proves to be a more challenging opposition leader to himself than Bill Shorten has I swear not putting any faith in politicians really... I do enjoy languages yeah, I find it keeps th..."
26,IE,0,1,0.9230356812477112,'I was on vacation in the Virgin Islands. We rented a boat for the week and one night when it was extremely calm we star gazed on our bow. The bay looked like glass and reflected all the stars. It was...
26,TF,0,1,0.9998182654380798,'I was on vacation in the Virgin Islands. We rented a boat for the week and one night when it was extremely calm we star gazed on our bow. The bay looked like glass and reflected all the stars. It was...
26,JP,0,1,0.99957674741745,'I was on vacation in the Virgin Islands. We rented a boat for the week and one night when it was extremely calm we star gazed on our bow. The bay looked like glass and reflected all the stars. It was...
28,IE,0,1,0.9964967370033264,'The GP I saw is very fortunately based in the Melbourne CBD and was actually diagnosed with ADHD relatively late in life. He was taking medication for a while but he found mindfulness to be... If the...
28,TF,1,0,0.010345684364438057,'The GP I saw is very fortunately based in the Melbourne CBD and was actually diagnosed with ADHD relatively late in life. He was taking medication for a while but he found mindfulness to be... If the...
30,IE,0,1,0.9995217323303223,"'Thanks for clarifying your question has been answered The lack of mile high club option is disappointing Some are interesting, some suck. Just like every other type? I don't see any type more or less..."
31,IE,0,1,0.7838608026504517,'I don't usually ask for help because I like to do everything by myself. D ...but when I do I don't leave the person who helped me unrewarded. That's is kind of a habit I've learned from people I've.....
32,JP,0,1,0.9991790652275085,"'I take St. John's Wort, L Tyrosine, and a B complex. They work pretty well. I've been on the St. John's Wort for over a year now, and it's helped tremendously, but I ordered some Maca to switch it up..."
33,NS,1,0,0.0018394364742562175,"'I've never had an INFP guy friend before, but I think I'd fall for them fast if I did! Dumas, Female Portrait, ISFp by Beskova Kind, courteous, gentle these are just a few of the adjectives that can ..."
33,JP,1,0,0.03418682888150215,"'I've never had an INFP guy friend before, but I think I'd fall for them fast if I did! Dumas, Female Portrait, ISFp by Beskova Kind, courteous, gentle these are just a few of the adjectives that can ..."
34,IE,0,1,0.9635435342788696,'Insert random mainstream movie When I worked in fast food back when I was in school most of the managers were promoted from within and put through management training. If you get recognized as a reli...
34,TF,1,0,0.0014106102753430605,'Insert random mainstream movie When I worked in fast food back when I was in school most of the managers were promoted from within and put through management training. If you get recognized as a reli...
34,JP,0,1,0.9994456171989441,'Insert random mainstream movie When I worked in fast food back when I was in school most of the managers were promoted from within and put through management training. If you get recognized as a reli...
35,IE,1,0,0.018900133669376373,"Welcome Dr. Buttercup, I got excited when I thought we would be discussing world domination strategies particularly the formation of a penguin army . As you like people, though, it seems we will... I ..."
35,JP,1,0,0.046359896659851074,"Welcome Dr. Buttercup, I got excited when I thought we would be discussing world domination strategies particularly the formation of a penguin army . As you like people, though, it seems we will... I ..."
36,TF,0,1,0.9768443703651428,"'I don't like english and did not do good in it. I did okay in quite a fair amount science reports, except this year because of motivation issues. In general, my science and math courses were way... 1..."
36,JP,0,1,0.9994076490402222,"'I don't like english and did not do good in it. I did okay in quite a fair amount science reports, except this year because of motivation issues. In general, my science and math courses were way... 1..."
37,NS,0,1,0.998286783695221,"'Yes. I do it all the time. I just throw up my hands and quit. I'll delete my Facebook profile, put my computer up, and spend a week or two on hiatus with virtually no human contact whatsoever. When I..."
37,TF,1,0,0.0012759064557030797,"'Yes. I do it all the time. I just throw up my hands and quit. I'll delete my Facebook profile, put my computer up, and spend a week or two on hiatus with virtually no human contact whatsoever. When I..."
37,JP,0,1,0.9756240844726562,"'Yes. I do it all the time. I just throw up my hands and quit. I'll delete my Facebook profile, put my computer up, and spend a week or two on hiatus with virtually no human contact whatsoever. When I..."
38,TF,1,0,0.001269237487576902,"'Well, he's an ESTP, actually. A photographer by trade. It's only acceptable if you want the shit kicked out of you by a vicious 6'1 Irish INTJ. I swear... Dopey Dunce Dread Dolphin Add me to the bold..."
38,JP,1,0,0.06820078939199448,"'Well, he's an ESTP, actually. A photographer by trade. It's only acceptable if you want the shit kicked out of you by a vicious 6'1 Irish INTJ. I swear... Dopey Dunce Dread Dolphin Add me to the bold..."
39,IE,0,1,0.9975749850273132,"'I dont post much on here but i like this typology shit. A little about me, im a tritype 593 that is 5w6 9w8 3w2, I like alot of different shit. Ive dabbled in most sports with basketball being the......"
39,TF,1,0,0.001139551866799593,"'I dont post much on here but i like this typology shit. A little about me, im a tritype 593 that is 5w6 9w8 3w2, I like alot of different shit. Ive dabbled in most sports with basketball being the......"
39,JP,0,1,0.9965033531188965,"'I dont post much on here but i like this typology shit. A little about me, im a tritype 593 that is 5w6 9w8 3w2, I like alot of different shit. Ive dabbled in most sports with basketball being the......"
43,NS,0,1,0.8914629817008972,"' P Name a meal, a dessert and anything you feel like. And... If you could have one thing everyday what would it be?? My mums, ISFP and dad's ISTJ. I want to see if my parents' types were influential ..."
43,TF,1,0,0.04871368780732155,"' P Name a meal, a dessert and anything you feel like. And... If you could have one thing everyday what would it be?? My mums, ISFP and dad's ISTJ. I want to see if my parents' types were influential ..."
44,NS,1,0,0.001831833622418344,"'Don't know, over the edge sometimes ... it is called an adventure? It is total bullshit. Haha. Done it year years ago, the hand though took weeks to heal so a few bruises might have been less painful..."
44,TF,0,1,0.9996705055236816,"'Don't know, over the edge sometimes ... it is called an adventure? It is total bullshit. Haha. Done it year years ago, the hand though took weeks to heal so a few bruises might have been less painful..."
44,JP,1,0,0.002194041619077325,"'Don't know, over the edge sometimes ... it is called an adventure? It is total bullshit. Haha. Done it year years ago, the hand though took weeks to heal so a few bruises might have been less painful..."
45,JP,0,1,0.9996206760406494,'Talking it out doesn't work. Whenever I want to talk he'd rather dodge answering. And when he does answer I have no context in terms of his thought process. He is a curiosity to me. Sent from my... I...
46,JP,0,1,0.9992727637290955,"'I never said I used it as an excuse, I work against it every day. I am somewhat dismayed that you assumed as much. It was merely meant as information on how it colors my behavior, and why I... I'll j..."
47,TF,1,0,0.18375377357006073,'Are you shitting me? He's so type 7 its not even funny. ESFP 7w6. End thread. Chenk a democratic party shill? Apparently you have never seen TYT. Voluntarily left a lucrative job at MSCNBC to not be ...
48,TF,1,0,0.005656672641634941,"'Anyone wearing a ski mask and or carrying a gun. Otherwise I remember that, at some point, every person on earth was a drooling toddler wearing a diaper and tripping over their own feet... just like...."
48,JP,1,0,0.0034811904188245535,"'Anyone wearing a ski mask and or carrying a gun. Otherwise I remember that, at some point, every person on earth was a drooling toddler wearing a diaper and tripping over their own feet... just like...."
49,NS,1,0,0.13558363914489746,"I believe I am pretty mature, but that in being so I know that life is way too short not to act childish every once in a while. Time and place for it, and such. I'm nodding off.. Off to sleep past noo..."
49,JP,1,0,0.0015684942482039332,"I believe I am pretty mature, but that in being so I know that life is way too short not to act childish every once in a while. Time and place for it, and such. I'm nodding off.. Off to sleep past noo..."
51,IE,1,0,0.008637000806629658,'Just today I reconnected online with a tattoo artist I knew a decade ago who threw gasoline on me and then followed that up by trying to throw lit matches in my direction because I happened to be... ...
56,JP,0,1,0.999382734298706,'I was just really frustrated in secondary school that no one was like me and that they were all so different in ways which I couldn't explain. Through random googling and link hopping I discovered......
63,NS,0,1,0.9379318356513977,"'I can deal with jobs I don't love, I've never had one I loved but having a job that sucks is a beat down. It was fine until last February but some policy changes made it a very stressful daily litmus..."
63,TF,1,0,0.08896714448928833,"'I can deal with jobs I don't love, I've never had one I loved but having a job that sucks is a beat down. It was fine until last February but some policy changes made it a very stressful daily litmus..."
65,NS,0,1,0.9995408058166504,"'Bringing back an old thread. Never gotten like a professional massage so don't know. Haircuts is a mixed bag, not that big a deal, I've had pretty good conversations with the barber, such as... Why a..."
65,TF,1,0,0.004142203368246555,"'Bringing back an old thread. Never gotten like a professional massage so don't know. Haircuts is a mixed bag, not that big a deal, I've had pretty good conversations with the barber, such as... Why a..."
65,JP,1,0,0.0011702552437782288,"'Bringing back an old thread. Never gotten like a professional massage so don't know. Haircuts is a mixed bag, not that big a deal, I've had pretty good conversations with the barber, such as... Why a..."
66,JP,1,0,0.013796376995742321,"'Thanks Seeker and Gilly. You're both so encouraging. I'm most likely going to ask him out. I'm not sure, but when he did the MBTI his ENF scores were less than 5 over it was such a negligible... So I..."
67,IE,0,1,0.9197496771812439,"'They say we live in a world of light and shadows. Ancient yogis recommend meditation to know the truth. In stillness of body, mind and spirit. Just as the finite universe stood still before it... som..."
